SRR number	Sample type
SRR18313731	estuarine sediment
SRR18313732	estuarine sediment
SRR18313733	estuarine sediment
SRR18313734	estuarine sediment
SRR18313735	estuarine sediment
SRR18313736	estuarine sediment
SRR18313737	estuarine sediment
SRR18313738	estuarine sediment
SRR18313739	estuarine sediment
SRR18313740	estuarine sediment
SRR11793863	estuarine sediment
SRR11793864	estuarine sediment
SRR7088793	estuarine sediment
SRR7088794	estuarine sediment
SRR7088795	estuarine sediment
SRR6470350	estuarine sediment
SRR6470358	estuarine sediment
SRR6470407	estuarine sediment
SRR6470408	estuarine sediment
SRR21120080	forest soil
SRR21120083	forest soil
SRR21120084	forest soil
SRR20446810	forest soil
SRR20446811	forest soil
SRR20446812	forest soil
SRR20446813	forest soil
SRR20446814	forest soil
SRR20446815	forest soil
SRR19747141	forest soil
SRR19747142	forest soil
SRR19747143	forest soil
SRR19747144	forest soil
SRR19747145	forest soil
SRR19747146	forest soil
SRR19747147	forest soil
SRR19747148	forest soil
SRR19747149	forest soil
SRR19747150	forest soil
SRR19747151	forest soil
SRR19747152	forest soil
SRR19747153	forest soil
SRR19747154	forest soil
SRR19747155	forest soil
SRR19747156	forest soil
SRR19747157	forest soil
SRR19747158	forest soil
SRR19747159	forest soil
SRR19747160	forest soil
SRR19663812	forest soil
ERR9527609	forest soil
ERR9527610	forest soil
ERR9527611	forest soil
ERR9527612	forest soil
ERR9527613	forest soil
ERR9527614	forest soil
ERR9527615	forest soil
ERR9527597	forest soil
SRR18636061	forest soil
SRR18636062	forest soil
SRR18636063	forest soil
SRR18636064	forest soil
SRR18636065	forest soil
SRR18636066	forest soil
SRR18029981	forest soil
SRR18029982	forest soil
SRR18029983	forest soil
SRR18029984	forest soil
SRR18029985	forest soil
SRR17841891	forest soil
ERR1762354	forest soil
ERR1762353	forest soil
ERR1762352	forest soil
ERR1762351	forest soil
ERR1762350	forest soil
ERR1762349	forest soil
ERR1762348	forest soil
ERR1762347	forest soil
ERR1762346	forest soil
ERR1762345	forest soil
ERR1762344	forest soil
ERR1762343	forest soil
ERR1762342	forest soil
ERR1762341	forest soil
ERR1762340	forest soil
ERR1762339	forest soil
ERR1762338	forest soil
ERR1762337	forest soil
ERR1762336	forest soil
ERR1762335	forest soil
ERR1762334	forest soil
ERR1762333	forest soil
ERR1762332	forest soil
ERR1762331	forest soil
ERR1762330	forest soil
ERR1762329	forest soil
ERR1762328	forest soil
ERR1762327	forest soil
ERR1762326	forest soil
ERR1762325	forest soil
ERR1762324	forest soil
ERR1762323	forest soil
ERR1762322	forest soil
ERR1762321	forest soil
ERR1762320	forest soil
ERR1762319	forest soil
ERR1762318	forest soil
ERR1762317	forest soil
ERR1762316	forest soil
ERR1762315	forest soil
ERR1762314	forest soil
ERR1762313	forest soil
ERR1762312	forest soil
ERR1762311	forest soil
ERR1762310	forest soil
ERR1762309	forest soil
ERR1762308	forest soil
ERR1762307	forest soil
ERR1762306	forest soil
ERR1762305	forest soil
ERR1762304	forest soil
ERR1762303	forest soil
ERR1762302	forest soil
ERR1762301	forest soil
ERR1762300	forest soil
ERR1762299	forest soil
ERR1762298	forest soil
ERR1762297	forest soil
ERR1762296	forest soil
ERR1762295	forest soil
ERR1762294	forest soil
ERR1762293	forest soil
ERR1762292	forest soil
ERR1762291	forest soil
ERR1762290	forest soil
ERR1762289	forest soil
ERR1762288	forest soil
ERR1762287	forest soil
ERR1762286	forest soil
ERR1762285	forest soil
ERR1762284	forest soil
ERR1762283	forest soil
ERR1762282	forest soil
ERR1762281	forest soil
ERR1762280	forest soil
ERR1762279	forest soil
ERR1762278	forest soil
ERR1762277	forest soil
ERR1762276	forest soil
ERR1762275	forest soil
ERR1762274	forest soil
ERR1762273	forest soil
ERR1762272	forest soil
ERR1762271	forest soil
ERR1762270	forest soil
ERR1762269	forest soil
ERR1762268	forest soil
ERR1762267	forest soil
ERR1762266	forest soil
ERR1762265	forest soil
ERR1762264	forest soil
ERR1762263	forest soil
ERR1762262	forest soil
ERR1762261	forest soil
ERR1762260	forest soil
ERR1762259	forest soil
ERR1762258	forest soil
ERR1762257	forest soil
ERR1762256	forest soil
ERR1762255	forest soil
ERR1762254	forest soil
ERR1762253	forest soil
ERR1762252	forest soil
ERR1762251	forest soil
ERR1762250	forest soil
ERR1762249	forest soil
ERR1762248	forest soil
ERR1762247	forest soil
ERR1762246	forest soil
ERR1762245	forest soil
ERR1762244	forest soil
ERR1762243	forest soil
ERR1762242	forest soil
ERR1762241	forest soil
ERR1762240	forest soil
ERR1762239	forest soil
ERR1762238	forest soil
ERR1762237	forest soil
ERR1762236	forest soil
ERR1762235	forest soil
ERR1762234	forest soil
ERR1762233	forest soil
ERR1762232	forest soil
ERR1762231	forest soil
ERR1762230	forest soil
ERR1762229	forest soil
ERR1762228	forest soil
ERR1762227	forest soil
ERR1762226	forest soil
ERR1762225	forest soil
ERR1762224	forest soil
ERR1762223	forest soil
ERR1762222	forest soil
ERR1762221	forest soil
ERR1762220	forest soil
ERR1762219	forest soil
ERR1762218	forest soil
ERR1762217	forest soil
ERR1762216	forest soil
ERR1762215	forest soil
ERR1762214	forest soil
ERR1762213	forest soil
ERR1762212	forest soil
ERR1762211	forest soil
ERR1762210	forest soil
ERR1762209	forest soil
ERR1762208	forest soil
ERR1762207	forest soil
ERR1762206	forest soil
ERR1762205	forest soil
ERR1762204	forest soil
ERR1762203	forest soil
ERR1762202	forest soil
ERR1762201	forest soil
ERR1762200	forest soil
ERR1762199	forest soil
ERR1762198	forest soil
ERR1762197	forest soil
ERR1762196	forest soil
ERR1762195	forest soil
ERR1762194	forest soil
ERR5766906	freshwater wetland sediment
ERR5766684	freshwater wetland sediment
ERR5766685	freshwater wetland sediment
ERR5766686	freshwater wetland sediment
ERR5766687	freshwater wetland sediment
ERR5766688	freshwater wetland sediment
ERR5766669	freshwater wetland sediment
ERR5766667	freshwater wetland sediment
ERR5766664	freshwater wetland sediment
ERR5766586	freshwater wetland sediment
ERR5766526	freshwater wetland sediment
ERR5762359	freshwater wetland sediment
ERR5762329	freshwater wetland sediment
ERR5758133	freshwater wetland sediment
ERR5758132	freshwater wetland sediment
ERR5757922	freshwater wetland sediment
ERR5757695	freshwater wetland sediment
ERR5757662	freshwater wetland sediment
ERR5757377	freshwater wetland sediment
ERR5757362	freshwater wetland sediment
SRR17401453	freshwater wetland sediment
SRR17401454	freshwater wetland sediment
SRR17401455	freshwater wetland sediment
SRR17401461	freshwater wetland sediment
SRR17401462	freshwater wetland sediment
SRR17401463	freshwater wetland sediment
SRR17401464	freshwater wetland sediment
SRR16596689	forest soil
SRR16596690	forest soil
SRR16596691	forest soil
SRR16327320	forest soil
SRR16327321	forest soil
SRR16327322	forest soil
SRR16016017	forest soil
SRR16016018	forest soil
SRR16016020	forest soil
SRR16016021	forest soil
SRR16016022	forest soil
SRR16016023	forest soil
SRR15377920	forest soil
SRR15377921	forest soil
SRR15377922	forest soil
SRR15377923	forest soil
SRR15377924	forest soil
SRR15377925	forest soil
SRR15377926	forest soil
SRR15377927	forest soil
SRR15377928	forest soil
SRR15377929	forest soil
SRR15377930	forest soil
SRR15377931	forest soil
SRR15377932	forest soil
SRR15377933	forest soil
SRR15377934	forest soil
SRR15377935	forest soil
SRR15377936	forest soil
SRR15377937	forest soil
SRR15377938	forest soil
SRR15377939	forest soil
SRR15377940	forest soil
SRR15377941	forest soil
SRR15377942	forest soil
SRR15377943	forest soil
SRR15377944	forest soil
SRR15377945	forest soil
SRR15377946	forest soil
SRR15377947	forest soil
SRR15377948	forest soil
SRR15377949	forest soil
SRR15377950	forest soil
SRR15377951	forest soil
SRR15377952	forest soil
SRR15377953	forest soil
SRR15377954	forest soil
SRR15377955	forest soil
SRR15377956	forest soil
SRR15377957	forest soil
SRR15377958	forest soil
SRR14986177	forest soil
SRR14986179	forest soil
SRR14986175	forest soil
SRR14572917	estuarine sediment
SRR14569887	forest soil
SRR14569888	forest soil
SRR14569889	forest soil
SRR14569890	forest soil
SRR14569891	forest soil
SRR14569892	forest soil
SRR14569894	forest soil
SRR14569895	forest soil
SRR14569896	forest soil
SRR14569897	forest soil
SRR14569898	forest soil
SRR14569899	forest soil
SRR14569900	forest soil
SRR14569931	forest soil
SRR14569932	forest soil
SRR14569934	forest soil
SRR14569935	forest soil
SRR14569947	forest soil
SRR14569948	forest soil
SRR14085585	forest soil
SRR14085586	forest soil
SRR14085587	forest soil
SRR14085588	forest soil
SRR14085589	forest soil
SRR14085590	forest soil
SRR14085591	forest soil
SRR14085592	forest soil
SRR14085593	forest soil
SRR14085594	forest soil
ERR4392701	forest soil
ERR4392702	forest soil
ERR4392703	forest soil
ERR4392704	forest soil
ERR4392705	forest soil
ERR4392706	forest soil
ERR4392707	forest soil
ERR4392708	forest soil
ERR4392709	forest soil
ERR4392710	forest soil
ERR4392711	forest soil
ERR4392712	forest soil
ERR4392713	forest soil
ERR4392714	forest soil
ERR4392715	forest soil
ERR4392716	forest soil
ERR4392717	forest soil
ERR4392718	forest soil
ERR4392719	forest soil
ERR4392720	forest soil
ERR4392721	forest soil
ERR4392722	forest soil
ERR4392723	forest soil
ERR4392724	forest soil
ERR4392725	forest soil
ERR4392726	forest soil
ERR4392727	forest soil
ERR4392728	forest soil
ERR4392729	forest soil
ERR4392730	forest soil
SRR13786996	forest soil
SRR13786997	forest soil
SRR13786998	forest soil
SRR13786999	forest soil
SRR13787000	forest soil
SRR13787001	forest soil
SRR13787002	forest soil
SRR13787003	forest soil
SRR13781756	forest soil
SRR13781757	forest soil
SRR13781758	forest soil
SRR13781585	forest soil
SRR13781586	forest soil
SRR13781587	forest soil
SRR13781414	forest soil
SRR13781415	forest soil
SRR13780018	forest soil
SRR13780019	forest soil
SRR13780020	forest soil
SRR13621567	forest soil
SRR13621568	forest soil
SRR13296318	forest soil
SRR13296319	forest soil
SRR13296320	forest soil
SRR13296321	forest soil
SRR13296322	forest soil
SRR13296326	forest soil
SRR13202123	forest soil
SRR13202124	forest soil
SRR13201976	forest soil
SRR13201962	forest soil
SRR13201920	forest soil
SRR13201919	forest soil
SRR13201613	forest soil
SRR13201614	forest soil
SRR13201615	forest soil
SRR13201616	forest soil
SRR13201617	forest soil
SRR13201618	forest soil
SRR13201821	forest soil
SRR13201822	forest soil
SRR13201824	forest soil
SRR13201825	forest soil
SRR13201612	forest soil
SRR13201604	forest soil
SRR13201605	forest soil
SRR13201552	forest soil
SRR13201553	forest soil
SRR13201562	forest soil
SRR13201563	forest soil
SRR12951230	forest soil
SRR12951261	forest soil
SRR12951262	forest soil
SRR12951263	forest soil
SRR13021852	forest soil
SRR13021853	forest soil
SRR12951266	forest soil
SRR12951267	forest soil
SRR13021854	forest soil
SRR12951269	forest soil
SRR12951270	forest soil
SRR12951271	forest soil
SRR13021855	forest soil
SRR13021902	forest soil
SRR13021904	forest soil
SRR13021940	forest soil
SRR13021941	forest soil
SRR13021957	forest soil
SRR13021960	forest soil
SRR10998589	forest soil
SRR10998590	forest soil
SRR10998591	forest soil
SRR10998592	forest soil
SRR10998593	forest soil
SRR10998558	forest soil
SRR5476985	freshwater wetland sediment
SRR5476650	freshwater wetland sediment
SRR19666936	freshwater wetland sediment
SRR19666937	freshwater wetland sediment
SRR19666938	freshwater wetland sediment
SRR19666939	freshwater wetland sediment
SRR19666940	freshwater wetland sediment
SRR5246785	freshwater wetland sediment
SRR5246787	freshwater wetland sediment
SRR5246790	freshwater wetland sediment
SRR5246791	freshwater wetland sediment
SRR5198900	freshwater wetland sediment
SRR5198901	freshwater wetland sediment
SRR5198902	freshwater wetland sediment
SRR5198903	freshwater wetland sediment
SRR20746675	freshwater wetland sediment
SRR20746676	freshwater wetland sediment
SRR20746677	freshwater wetland sediment
SRR20746678	freshwater wetland sediment
SRR20746679	freshwater wetland sediment
SRR20746680	freshwater wetland sediment
SRR20746681	freshwater wetland sediment
SRR20746682	freshwater wetland sediment
SRR20746683	freshwater wetland sediment
SRR20746684	freshwater wetland sediment
SRR20746685	freshwater wetland sediment
SRR20746686	freshwater wetland sediment
SRR20746687	freshwater wetland sediment
SRR20746688	freshwater wetland sediment
SRR20746689	freshwater wetland sediment
SRR20746690	freshwater wetland sediment
SRR20746691	freshwater wetland sediment
SRR20746692	freshwater wetland sediment
SRR20746693	freshwater wetland sediment
SRR20746694	freshwater wetland sediment
SRR20746695	freshwater wetland sediment
SRR20746696	freshwater wetland sediment
SRR20746697	freshwater wetland sediment
SRR20746698	freshwater wetland sediment
SRR18694249	freshwater wetland sediment
SRR18694250	freshwater wetland sediment
SRR17651685	freshwater wetland sediment
SRR17651686	freshwater wetland sediment
SRR17651687	freshwater wetland sediment
SRR17651688	freshwater wetland sediment
SRR17651689	freshwater wetland sediment
ERR5766907	freshwater wetland sediment
ERR5766908	freshwater wetland sediment
ERR5766909	freshwater wetland sediment
ERR5766910	freshwater wetland sediment
ERR5766911	freshwater wetland sediment
ERR5766912	freshwater wetland sediment
ERR5766913	freshwater wetland sediment
ERR5766914	freshwater wetland sediment
ERR5766670	freshwater wetland sediment
ERR5766671	freshwater wetland sediment
ERR5766672	freshwater wetland sediment
ERR5766673	freshwater wetland sediment
ERR5766674	freshwater wetland sediment
ERR5766675	freshwater wetland sediment
ERR5766676	freshwater wetland sediment
ERR5766677	freshwater wetland sediment
ERR5766678	freshwater wetland sediment
ERR5766679	freshwater wetland sediment
ERR5766680	freshwater wetland sediment
ERR5766681	freshwater wetland sediment
ERR5766682	freshwater wetland sediment
ERR5766683	freshwater wetland sediment
ERR5766520	freshwater wetland sediment
ERR5766521	freshwater wetland sediment
ERR5766522	freshwater wetland sediment
ERR5766523	freshwater wetland sediment
ERR5766524	freshwater wetland sediment
ERR5766525	freshwater wetland sediment
ERR5766493	freshwater wetland sediment
ERR5763226	freshwater wetland sediment
ERR5762504	freshwater wetland sediment
ERR5762505	freshwater wetland sediment
ERR5762868	freshwater wetland sediment
ERR5763222	freshwater wetland sediment
ERR5762296	freshwater wetland sediment
ERR5762297	freshwater wetland sediment
ERR5762298	freshwater wetland sediment
ERR5762299	freshwater wetland sediment
(PRJEB44414) freshwater wetland sediment
SRR15532675	freshwater wetland sediment
SRR15532676	freshwater wetland sediment
SRR15532677	freshwater wetland sediment
SRR15532678	freshwater wetland sediment
SRR15532679	freshwater wetland sediment
SRR15532680	freshwater wetland sediment
SRR15532681	freshwater wetland sediment
SRR15532682	freshwater wetland sediment
SRR15400729	freshwater wetland sediment
SRR15400730	freshwater wetland sediment
SRR15400731	freshwater wetland sediment
SRR14454004	lake water
SRR14454008	lake water
SRR14454009	lake water
SRR14454005	freshwater wetland sediment
SRR14454010	freshwater wetland sediment
SRR14454013	freshwater wetland sediment
SRR14454014	lake water
SRR14454015	freshwater wetland sediment
SRR14454018	lake water
SRR14454019	freshwater wetland sediment
SRR14454022	lake water
SRR14454023	freshwater wetland sediment
SRR13296330	freshwater wetland sediment
SRR13296331	freshwater wetland sediment
SRR13296332	freshwater wetland sediment
SRR12846150	freshwater wetland sediment
SRR12846151	freshwater wetland sediment
SRR12418379	freshwater wetland sediment
SRR12418380	freshwater wetland sediment
SRR12418381	freshwater wetland sediment
SRR12418382	freshwater wetland sediment
SRR11837387	freshwater wetland sediment
SRR11837388	freshwater wetland sediment
SRR11837389	freshwater wetland sediment
SRR11837390	freshwater wetland sediment
SRR11837370	freshwater wetland sediment
SRR11837300	freshwater wetland sediment
SRR11837301	freshwater wetland sediment
SRR11837302	freshwater wetland sediment
SRR11837213	freshwater wetland sediment
SRR11837214	freshwater wetland sediment
SRR11837216	freshwater wetland sediment
SRR11734659	estuarine sediment
SRR11734660	estuarine sediment
SRR11734617	estuarine sediment
SRR11734618	estuarine sediment
SRR11734633	estuarine sediment
SRR11734634	estuarine sediment
SRR11734648	estuarine sediment
SRR11734649	estuarine sediment
SRR11668419	freshwater wetland sediment
SRR11668400	freshwater wetland sediment
SRR11668386	freshwater wetland sediment
SRR11341399	freshwater wetland sediment
SRR11070432	freshwater wetland sediment
SRR10968283	freshwater wetland sediment
SRR10968273	freshwater wetland sediment
SRR10968274	freshwater wetland sediment
SRR10968275	freshwater wetland sediment
SRR10968276	freshwater wetland sediment
SRR10968277	freshwater wetland sediment
SRR10968278	freshwater wetland sediment
SRR10968279	freshwater wetland sediment
SRR10968280	freshwater wetland sediment
SRR10968281	freshwater wetland sediment
SRR10968282	freshwater wetland sediment
SRR10968270	freshwater wetland sediment
SRR10968271	freshwater wetland sediment
SRR10968272	freshwater wetland sediment
SRR10968218	freshwater wetland sediment
SRR10968219	freshwater wetland sediment
SRR10968211	freshwater wetland sediment
SRR10968221	freshwater wetland sediment
SRR10968222	freshwater wetland sediment
SRR10968223	freshwater wetland sediment
SRR10968224	freshwater wetland sediment
SRR10968168	freshwater wetland sediment
SRR10968162	freshwater wetland sediment
SRR10968147	freshwater wetland sediment
SRR10968148	freshwater wetland sediment
SRR10968149	freshwater wetland sediment
SRR10968150	freshwater wetland sediment
SRR10968151	freshwater wetland sediment
SRR10968141	freshwater wetland sediment
SRR10968153	freshwater wetland sediment
SRR10968155	freshwater wetland sediment
SRR10968156	freshwater wetland sediment
SRR10968158	freshwater wetland sediment
SRR10375808	freshwater wetland sediment
SRR10260005	agriculture
SRR10260007	agriculture
SRR10260011	agriculture
SRR10260012	agriculture
SRR9691018	freshwater wetland sediment
SRR9691019	freshwater wetland sediment
SRR9691020	freshwater wetland sediment
SRR9691021	freshwater wetland sediment
SRR9691022	freshwater wetland sediment
SRR9691023	freshwater wetland sediment
SRR9691024	freshwater wetland sediment
SRR9691025	freshwater wetland sediment
SRR9691026	freshwater wetland sediment
SRR9691027	freshwater wetland sediment
SRR9691028	freshwater wetland sediment
SRR9691029	freshwater wetland sediment
SRR9691030	freshwater wetland sediment
SRR9691031	freshwater wetland sediment
SRR9691032	freshwater wetland sediment
SRR9691033	freshwater wetland sediment
SRR9691034	freshwater wetland sediment
SRR9691035	freshwater wetland sediment
SRR9691036	freshwater wetland sediment
SRR9691037	freshwater wetland sediment
SRR9691038	freshwater wetland sediment
SRR9691039	freshwater wetland sediment
SRR9691040	freshwater wetland sediment
SRR9691041	freshwater wetland sediment
SRR9691042	freshwater wetland sediment
SRR9691043	freshwater wetland sediment
SRR9691044	freshwater wetland sediment
SRR9691045	freshwater wetland sediment
SRR9691046	freshwater wetland sediment
SRR9691047	freshwater wetland sediment
SRR9691048	freshwater wetland sediment
SRR9691049	freshwater wetland sediment
SRR9691050	freshwater wetland sediment
SRR9691051	freshwater wetland sediment
SRR9691052	freshwater wetland sediment
SRR9691053	freshwater wetland sediment
SRR9691054	freshwater wetland sediment
SRR9691055	freshwater wetland sediment
SRR9691056	freshwater wetland sediment
SRR9691057	freshwater wetland sediment
SRR9691058	freshwater wetland sediment
SRR9691059	freshwater wetland sediment
SRR9691060	freshwater wetland sediment
SRR9656206	freshwater wetland sediment
SRR9656207	freshwater wetland sediment
SRR8718985	freshwater wetland sediment
SRR8718986	freshwater wetland sediment
SRR8718987	freshwater wetland sediment
SRR8718988	freshwater wetland sediment
SRR8718989	freshwater wetland sediment
SRR8718990	freshwater wetland sediment
SRR8718991	freshwater wetland sediment
SRR8718992	freshwater wetland sediment
SRR8191144	freshwater wetland sediment
SRR8191145	freshwater wetland sediment
SRR6436091	freshwater wetland sediment
SRR6436070	freshwater wetland sediment
SRR1029957	freshwater wetland sediment
SRR5817585	freshwater wetland sediment
SRR5817586	freshwater wetland sediment
SRR5817587	freshwater wetland sediment
SRR5817588	freshwater wetland sediment
SRR5817589	freshwater wetland sediment
SRR5817590	freshwater wetland sediment
SRR5581526	freshwater wetland sediment
SRR5124966	freshwater wetland sediment
SRR5124967	freshwater wetland sediment
SRR5124968	freshwater wetland sediment
SRR5124969	freshwater wetland sediment
SRR5124970	freshwater wetland sediment
SRR5124971	freshwater wetland sediment
SRR8476229	WTTP sludge
SRR8476230	WTTP sludge
SRR8476231	WTTP sludge
SRR8476232	WTTP sludge
SRR8476233	WTTP sludge
SRR8476234	WTTP sludge
SRR8476279	WTTP sludge
SRR8476335	WTTP sludge
SRR8476363	WTTP sludge
SRR8476364	WTTP sludge
SRR8476370	WTTP sludge
SRR8476391	WTTP sludge
SRR8476420	WTTP sludge
SRR8476428	WTTP sludge
SRR8476429	WTTP sludge
SRR8476545	WTTP sludge
SRR8554100	WTTP sludge
SRR8554103	WTTP sludge
SRR21822500	WTTP sludge
SRR21773978	WTTP sludge
SRR21773979	WTTP sludge
SRR21773980	WTTP sludge
SRR21773981	WTTP sludge
SRR21773982	WTTP sludge
SRR21773983	WTTP sludge
SRR21773984	WTTP sludge
SRR21773985	WTTP sludge
SRR21773986	WTTP sludge
SRR21773987	WTTP sludge
SRR21773944	WTTP sludge
SRR21773945	WTTP sludge
ERR7850079	WTTP sludge
ERR7850080	WTTP sludge
ERR7850081	WTTP sludge
ERR7850082	WTTP sludge
ERR7850083	WTTP sludge
ERR7850084	WTTP sludge
ERR7850085	WTTP sludge
ERR7850086	WTTP sludge
ERR7850087	WTTP sludge
ERR7850088	WTTP sludge
ERR7850089	WTTP sludge
ERR7850090	WTTP sludge
ERR7850091	WTTP sludge
ERR7850092	WTTP sludge
ERR7850093	WTTP sludge
ERR7850094	WTTP sludge
ERR7850095	WTTP sludge
ERR7850096	WTTP sludge
ERR7850097	WTTP sludge
ERR7850098	WTTP sludge
ERR7850099	WTTP sludge
ERR7850100	WTTP sludge
ERR7757499	WTTP sludge
ERR7757500	WTTP sludge
ERR7757501	WTTP sludge
ERR7757502	WTTP sludge
ERR7757503	WTTP sludge
ERR7757504	WTTP sludge
ERR7757505	WTTP sludge
ERR7757506	WTTP sludge
ERR7757507	WTTP sludge
ERR7757508	WTTP sludge
ERR7757509	WTTP sludge
ERR7757510	WTTP sludge
ERR7757511	WTTP sludge
ERR7757512	WTTP sludge
ERR7757513	WTTP sludge
ERR7757514	WTTP sludge
ERR7757515	WTTP sludge
ERR7757516	WTTP sludge
ERR7757517	WTTP sludge
ERR7757493	WTTP sludge
SRR21620012	WTTP sludge
SRR20083768	WTTP sludge
SRR19913438	WTTP sludge
SRR19913336	WTTP sludge
SRR19743522	WTTP sludge
SRR19591707	WTTP sludge
SRR19591708	WTTP sludge
SRR19591709	WTTP sludge
SRR19591710	WTTP sludge
SRR19591711	WTTP sludge
SRR19591712	WTTP sludge
SRR19591713	WTTP sludge
SRR19591714	WTTP sludge
SRR19591715	WTTP sludge
SRR19591716	WTTP sludge
SRR19591717	WTTP sludge
SRR19591718	WTTP sludge
SRR19591719	WTTP sludge
SRR19542531	WTTP sludge
SRR19542532	WTTP sludge
SRR19542533	WTTP sludge
SRR19542534	WTTP sludge
SRR19330069	WTTP sludge
SRR19226372	wastewater
SRR19226370	WTTP sludge
SRR19226371	WTTP sludge
SRR19226369	WTTP sludge
SRR19226368	river water
SRR19226370	WTTP sludge
SRR19226371	WTTP sludge
DRR350540	WTTP sludge
DRR350541	WTTP sludge
DRR350542	WTTP sludge
SRR18711341	WTTP sludge
SRR18711179	WTTP sludge
SRR18682536	wastewater
SRR18682544	wastewater
SRR18682537	WTTP sludge
SRR18682538	WTTP sludge
SRR18682539	WTTP sludge
SRR18682540	WTTP sludge
SRR18682541	WTTP sludge
SRR18682542	WTTP sludge
SRR18682543	WTTP sludge
SRR18643806	WTTP sludge
ERR8521291	WTTP sludge
ERR8521292	WTTP sludge
ERR8521293	WTTP sludge
ERR8521294	WTTP sludge
ERR8521295	WTTP sludge
ERR8521296	WTTP sludge
ERR8521297	WTTP sludge
ERR8521298	WTTP sludge
ERR8521299	WTTP sludge
ERR8521300	WTTP sludge
SRR18360462	WTTP sludge
SRR18360463	WTTP sludge
SRR18360464	WTTP sludge
SRR18360465	WTTP sludge
SRR18360466	WTTP sludge
SRR18360467	WTTP sludge
SRR18360468	WTTP sludge
SRR18360469	WTTP sludge
SRR18360470	WTTP sludge
SRR18313612	WTTP sludge
SRR18313613	WTTP sludge
SRR18313625	WTTP sludge
SRR18313635	WTTP sludge
SRR18313646	WTTP sludge
SRR18313647	WTTP sludge
SRR18243713	WTTP sludge
SRR18053991	WTTP sludge
SRR17968334	WTTP sludge
SRR17786455	WTTP sludge
SRR17651513	WTTP sludge
SRR17651514	WTTP sludge
SRR17648131	WTTP sludge
SRR17648132	WTTP sludge
SRR17648133	WTTP sludge
SRR17578869	WTTP sludge
SRR17549188	wastewater
SRR17549185	wastewater
SRR17549187	WTTP sludge
SRR17549186	wastewater
SRR17549184	WTTP sludge
SRR14800555	WTTP sludge
SRR14800552	WTTP sludge
SRR14800549	WTTP sludge
SRR17454621	WTTP sludge
SRR17348321	WTTP sludge
SRR17348322	WTTP sludge
SRR17348323	WTTP sludge
SRR17284922	WTTP sludge
SRR17284923	WTTP sludge
SRR17284924	WTTP sludge
ERR7569997	WTTP sludge
ERR7569998	WTTP sludge
ERR7569999	WTTP sludge
ERR7570000	WTTP sludge
ERR7570001	WTTP sludge
ERR7570002	WTTP sludge
ERR7570003	WTTP sludge
ERR7570004	WTTP sludge
ERR7570005	WTTP sludge
ERR7570006	WTTP sludge
SRR17089432	WTTP sludge
SRR17089433	WTTP sludge
SRR17089434	WTTP sludge
SRR17089435	WTTP sludge
SRR17089436	WTTP sludge
SRR17089437	WTTP sludge
SRR17089438	WTTP sludge
SRR17089439	WTTP sludge
SRR17089440	WTTP sludge
SRR17089441	WTTP sludge
SRR17089442	WTTP sludge
SRR17089443	WTTP sludge
SRR17089444	WTTP sludge
SRR17089445	WTTP sludge
SRR17089446	WTTP sludge
SRR17089447	WTTP sludge
SRR17089448	WTTP sludge
SRR17089449	WTTP sludge
SRR17089450	WTTP sludge
SRR17089451	WTTP sludge
SRR17089452	WTTP sludge
SRR17089453	WTTP sludge
SRR17089454	WTTP sludge
SRR17089455	WTTP sludge
SRR17089456	WTTP sludge
SRR17089457	WTTP sludge
SRR17068071	WTTP sludge
SRR17068072	WTTP sludge
SRR16998421	WTTP sludge
SRR16998422	WTTP sludge
SRR16998423	WTTP sludge
SRR16951076	WTTP sludge
SRR16951077	WTTP sludge
SRR16951078	WTTP sludge
SRR16526850	WTTP sludge
SRR16526851	WTTP sludge
SRR16526852	WTTP sludge
SRR16526853	WTTP sludge
SRR16526563	WTTP sludge
SRR16526564	WTTP sludge
SRR16526566	WTTP sludge
SRR16526567	WTTP sludge
SRR16526568	WTTP sludge
SRR16526543	WTTP sludge
SRR16526544	WTTP sludge
SRR16526545	WTTP sludge
SRR16526546	WTTP sludge
SRR16483202	WTTP sludge
SRR16483738	WTTP sludge
SRR16483739	WTTP sludge
SRR16483740	WTTP sludge
SRR16483764	WTTP sludge
SRR16484614	WTTP sludge
SRR16483766	WTTP sludge
SRR16484645	WTTP sludge
SRR16484646	WTTP sludge
SRR16484647	WTTP sludge
SRR16484650	WTTP sludge
SRR16484659	WTTP sludge
SRR16472567	WTTP sludge
SRR16379730	WTTP sludge
SRR16379731	WTTP sludge
SRR16378533	WTTP sludge
SRR16377039	WTTP sludge
SRR16241908	WTTP sludge
SRR16214557	WTTP sludge
SRR16214559	WTTP sludge
SRR16214561	WTTP sludge
SRR16203517	WTTP sludge
SRR16002671	WTTP sludge
SRR16002672	WTTP sludge
SRR16002673	WTTP sludge
SRR16002674	WTTP sludge
SRR15882950	WTTP sludge
SRR15882951	WTTP sludge
SRR15603313	WTTP sludge
SRR15603315	WTTP sludge
(PRJEB39861) WTTP sludge
SRR15021820	WTTP sludge
SRR15021821	WTTP sludge
SRR15021822	WTTP sludge
SRR15021823	WTTP sludge
SRR15021824	WTTP sludge
(PRJNA509305) WTTP sludge
SRR14782838	WTTP sludge
ERR4450732	WTTP sludge
ERR4450733	WTTP sludge
ERR4450734	WTTP sludge
ERR4450735	WTTP sludge
ERR4450736	WTTP sludge
