SRR number	Sample type
SRR10965182	river sediment
SRR10965181	river sediment
SRR10965086	river sediment
SRR10965085	river sediment
SRR10965084	river sediment
SRR10965083	river sediment
SRR10965082	river sediment
SRR10965081	river sediment
SRR10965080	river sediment
SRR10965079	river sediment
SRR10965078	river sediment
SRR10965076	river sediment
ERR2612536	river sediment
SRR9924753	river sediment
SRR9924754	river sediment
SRR9924755	river sediment
SRR9924756	river sediment
SRR9924757	river sediment
SRR9924758	river sediment
SRR9924759	river sediment
SRR9924760	river sediment
SRR9924761	river sediment
SRR9924762	river sediment
SRR9924763	river sediment
SRR9924764	river sediment
SRR9924765	river sediment
SRR9924766	river sediment
SRR9924767	river sediment
SRR9924768	river sediment
SRR9924769	river sediment
SRR9924770	river sediment
SRR9924771	river sediment
SRR9924772	river sediment
SRR9924773	river sediment
SRR9924774	river sediment
SRR9924775	river sediment
SRR9924776	river sediment
SRR9924777	river sediment
SRR9924778	river sediment
SRR9924779	river sediment
SRR9924780	river sediment
SRR9924781	river sediment
SRR9924782	river sediment
SRR9924783	river sediment
SRR9924784	river sediment
SRR9924785	river sediment
SRR9924786	river sediment
SRR9924787	river sediment
SRR9924788	river sediment
SRR9924789	river sediment
SRR9924790	river sediment
SRR9924791	river sediment
SRR9924792	river sediment
SRR9924793	river sediment
SRR9924794	river sediment
SRR9924795	river sediment
SRR9924796	river sediment
SRR9924797	river sediment
SRR9924798	river sediment
SRR9924799	river sediment
SRR9924800	river sediment
SRR9924801	river sediment
SRR9924802	river sediment
SRR9924803	river sediment
SRR9924804	river sediment
SRR9924805	river sediment
SRR9924806	river sediment
SRR9924807	river sediment
SRR9924808	river sediment
SRR9924809	river sediment
SRR9924810	river sediment
SRR9924811	river sediment
SRR9924812	river sediment
SRR9924813	river sediment
SRR9924814	river sediment
SRR8868559	river sediment
SRR8859388	river sediment
SRR8859387	river sediment
SRR8859357	river sediment
SRR8859356	river sediment
SRR8859111	river sediment
SRR8837336	river sediment
SRR8837334	river sediment
SRR8830786	river sediment
SRR8830787	river sediment
SRR8830788	river sediment
SRR8830789	river sediment
SRR8830790	river sediment
SRR8830791	river sediment
SRR8830798	river sediment
SRR8830799	river sediment
SRR8815513	river sediment
SRR8389946	river sediment
SRR7244169	estuarine sediment
SRR7990788	estuarine sediment
SRR7990774	estuarine sediment
SRR7963149	estuarine sediment
SRR7963010	estuarine sediment
SRR7963011	estuarine sediment
SRR7963012	estuarine sediment
SRR7963013	estuarine sediment
SRR7962754	estuarine sediment
SRR7962755	estuarine sediment
SRR7962756	estuarine sediment
SRR7962757	estuarine sediment
SRR7962759	estuarine sediment
SRR7962760	estuarine sediment
SRR7962750	estuarine sediment
SRR7962747	estuarine sediment
SRR7962864	estuarine sediment
SRR7962866	estuarine sediment
SRR7962867	estuarine sediment
SRR7962868	estuarine sediment
SRR7963038	estuarine sediment
SRR7963039	estuarine sediment
SRR7963040	estuarine sediment
SRR7963043	estuarine sediment
SRR7963107	estuarine sediment
SRR7500465	estuarine sediment
SRR7500322	estuarine sediment
SRR7499980	estuarine sediment
SRR7499979	estuarine sediment
SRR7499366	estuarine sediment
SRR7499317	estuarine sediment
SRR7499255	estuarine sediment
SRR7498056	estuarine sediment
SRR7498050	estuarine sediment
SRR7498049	estuarine sediment
SRR7498026	estuarine sediment
SRR7497948	estuarine sediment
SRR7497947	estuarine sediment
SRR7497946	estuarine sediment
SRR7497733	estuarine sediment
SRR7497728	estuarine sediment
SRR7497727	estuarine sediment
SRR7497722	estuarine sediment
SRR7497680	estuarine sediment
SRR7497679	estuarine sediment
SRR7497678	estuarine sediment
SRR7497677	estuarine sediment
SRR7497675	estuarine sediment
SRR7092010	river sediment
SRR7091984	river sediment
SRR7091814	river sediment
SRR7091795	river sediment
SRR7052557	river sediment
SRR7052556	river sediment
SRR7052555	river sediment
SRR7052553	river sediment
SRR7052549	river sediment
SRR7052513	river sediment
SRR7052512	river sediment
SRR7052454	river sediment
SRR7052453	river sediment
SRR7052452	river sediment
SRR7052451	river sediment
SRR7052449	river sediment
SRR7052432	river sediment
SRR7052431	river sediment
SRR7052430	river sediment
SRR7052325	river sediment
SRR7052324	river sediment
SRR7052321	river sediment
SRR7052322	river sediment
SRR7052323	river sediment
SRR7052300	river sediment
SRR7052302	river sediment
SRR7052303	river sediment
SRR7052204	river sediment
SRR7052205	river sediment
SRR7052206	river sediment
SRR7052207	river sediment
SRR7052208	river sediment
SRR7052196	river sediment
SRR7052195	river sediment
SRR7051729	river sediment
SRR7051673	river sediment
SRR7051674	river sediment
SRR7051675	river sediment
SRR7051676	river sediment
SRR7051677	river sediment
SRR8859111	river sediment
SRR7051574	river sediment
SRR7051580	river sediment
SRR7051579	river sediment
SRR7051573	river sediment
SRR7051572	river sediment
SRR7051571	river sediment
SRR7051350	river sediment
SRR7051334	river sediment
SRR7051333	river sediment
SRR7051324	river sediment
SRR7007744	river sediment
SRR7007743	river sediment
SRR7007636	river sediment
SRR7007285	river sediment
SRR7007154	river sediment
SRR7007152	river sediment
SRR7007151	river sediment
SRR7007124	river sediment
SRR7007121	river sediment
SRR7007045	river sediment
SRR7006882	river sediment
SRR7006849	river sediment
SRR7006830	river sediment
SRR7006759	river sediment
SRR7006713	river sediment
SRR7006499	river sediment
SRR7006460	river sediment
SRR7006411	river sediment
SRR7006398	river sediment
SRR7006324	river sediment
SRR7052195	river sediment
SRR6814546	river sediment
SRR6814547	river sediment
SRR6824001	river sediment
SRR6824002	river sediment
SRR6824003	river sediment
SRR6824004	river sediment
SRR6824005	river sediment
SRR6824006	river sediment
SRR6824007	river sediment
SRR6824009	river sediment
SRR6824010	river sediment
SRR6824011	river sediment
SRR6824012	river sediment
SRR6824013	river sediment
SRR6824000	river sediment
SRR6823999	river sediment
SRR6823998	river sediment
SRR6823962	river sediment
SRR6823963	river sediment
SRR6823964	river sediment
SRR6823965	river sediment
SRR6823966	river sediment
SRR6823967	river sediment
SRR6823968	river sediment
SRR6823969	river sediment
SRR6823970	river sediment
SRR6823971	river sediment
SRR6823972	river sediment
SRR6823973	river sediment
SRR6823974	river sediment
SRR6823975	river sediment
SRR6823976	river sediment
SRR6823977	river sediment
SRR6823978	river sediment
SRR6823979	river sediment
SRR6823693	river sediment
SRR6823690	river sediment
SRR6823689	river sediment
SRR6466472	river sediment
SRR6466473	river sediment
SRR6466474	river sediment
SRR6466475	river sediment
SRR6448452	river sediment
SRR6448453	river sediment
SRR6448454	river sediment
SRR6448455	river sediment
SRR6448456	river sediment
SRR6448457	river sediment
SRR6448458	river sediment
SRR6448459	river sediment
SRR6448460	river sediment
SRR6448461	river sediment
SRR6448368	river sediment
SRR6448369	river sediment
SRR6448370	river sediment
SRR6448371	river sediment
SRR6448372	river sediment
SRR6448373	river sediment
SRR6448375	river sediment
SRR6448376	river sediment
SRR6448377	river sediment
SRR6448378	river sediment
SRR6448379	river sediment
SRR6448380	river sediment
SRR6448381	river sediment
SRR6448382	river sediment
SRR6448383	river sediment
SRR6448384	river sediment
SRR6448364	river sediment
SRR6448365	river sediment
SRR6448366	river sediment
SRR6448367	river sediment
SRR6448354	river sediment
SRR6448353	river sediment
SRR6448250	river sediment
SRR6448245	river sediment
SRR6448246	river sediment
SRR6448247	river sediment
SRR6448248	river sediment
SRR6448249	river sediment
SRR6448226	river sediment
SRR6448215	river sediment
SRR6448216	river sediment
SRR6448217	river sediment
SRR6448218	river sediment
SRR6436056	river sediment
SRR6436046	river sediment
SRR6436045	river sediment
SRR6423772	WTTP sludge
SRR5373744	river sediment
SRR5373743	river sediment
SRR6262816	river sediment
SRR6262817	river sediment
SRR6262818	river sediment
SRR6262796	river sediment
SRR6262717	river sediment
SRR6262718	river sediment
SRR6262719	river sediment
SRR6262720	river sediment
SRR6262721	river sediment
SRR6262722	river sediment
SRR6262723	river sediment
SRR6262724	river sediment
SRR6262643	river sediment
SRR6262644	river sediment
SRR6262645	river sediment
SRR6262646	river sediment
SRR6262647	river sediment
SRR6262648	river sediment
SRR6262588	river sediment
SRR6262555	river sediment
SRR6262549	river sediment
SRR6262550	river sediment
SRR6262551	river sediment
SRR6262552	river sediment
SRR6262553	river sediment
SRR6262533	river sediment
SRR6262532	river sediment
SRR6262526	river sediment
SRR6262527	river sediment
SRR6262247	river sediment
SRR6262248	river sediment
SRR6262250	river sediment
SRR6262251	river sediment
SRR6262252	river sediment
SRR6262253	river sediment
SRR6262254	river sediment
SRR6262255	river sediment
SRR6262256	river sediment
SRR6262225	river sediment
SRR6262226	river sediment
SRR6262227	river sediment
SRR6262228	river sediment
SRR6262230	river sediment
SRR6262231	river sediment
SRR6047969	river sediment
SRR5468957	river sediment
SRR5468956	river sediment
SRR5468955	river sediment
SRR5468912	river sediment
SRR5468112	river sediment
SRR5468104	river sediment
SRR5468105	river sediment
SRR5468106	river sediment
SRR5468107	river sediment
SRR5468108	river sediment
SRR5468109	river sediment
SRR5468111	river sediment
SRR5468112	river sediment
SRR2190405	river sediment
ERR1035442	river sediment
ERR688341	estuarine sediment
ERR688342	estuarine sediment
ERR688343	estuarine sediment
ERR688344	estuarine sediment
ERR688345	estuarine sediment
ERR688346	estuarine sediment
ERR688347	estuarine sediment
ERR688348	estuarine sediment
ERR688349	estuarine sediment
ERR688350	estuarine sediment
ERR688351	estuarine sediment
ERR688352	estuarine sediment
ERR688353	estuarine sediment
ERR688354	estuarine sediment
ERR688355	estuarine sediment
ERR688356	estuarine sediment
SRR2016485	river sediment
SRR942942	mining
SRR942943	mining
SRR21053862	lake sediment
SRR21053863	lake water
SRR19666933	lake sediment
SRR19666934	lake sediment
SRR19666935	lake sediment
SRR19166072	lake sediment
SRR19166073	lake sediment
SRR19166074	lake sediment
SRR19166075	lake sediment
SRR19166076	lake sediment
SRR19166077	lake sediment
SRR19166078	lake sediment
SRR19166079	lake sediment
SRR19166080	lake sediment
SRR19166081	lake sediment
SRR19403493	lake water
SRR19116067	lake sediment
SRR19116069	lake sediment
SRR19116071	lake sediment
SRR19116074	lake sediment
SRR17234065	lake sediment
SRR17234066	lake sediment
SRR17234067	lake sediment
SRR17234068	lake sediment
SRR17234069	lake sediment
SRR17234070	lake sediment
SRR17234071	lake sediment
SRR17234072	lake sediment
SRR17234073	lake sediment
SRR17234074	lake sediment
SRR17234075	lake sediment
SRR17165200	lake sediment
SRR17165201	lake sediment
SRR17165202	lake sediment
SRR17165203	lake sediment
SRR17165204	lake sediment
SRR17165205	lake sediment
SRR17165206	lake sediment
SRR17165207	lake sediment
SRR17165208	lake sediment
SRR17165209	lake sediment
SRR17165210	lake sediment
SRR17165211	lake sediment
SRR17165212	lake sediment
SRR17165213	lake sediment
SRR17165214	lake sediment
SRR17165215	lake sediment
SRR17021127	lake sediment
SRR16631310	lake sediment
SRR16631311	lake sediment
SRR16631312	lake sediment
ERR3804373	lake sediment
ERR3804374	lake sediment
ERR3804375	lake sediment
ERR3804376	lake sediment
ERR3804377	lake sediment
ERR3804378	lake sediment
ERR4334725	lake sediment
ERR4334726	lake sediment
ERR4334727	lake sediment
ERR4334728	lake sediment
ERR4334729	lake sediment
ERR4334730	lake sediment
ERR4334731	lake sediment
ERR4334732	lake sediment
ERR4334733	lake sediment
ERR4334734	lake sediment
ERR4334735	lake sediment
ERR4334736	lake sediment
SRR15677213	lake sediment
SRR15677214	lake sediment
SRR15677215	lake sediment
SRR15677216	lake sediment
